BLK,ROW,POS,GENO,ID,Total.Time,FreeFeeder,LeafModifier,WoodModifier,Ant,Cecidomyiidae,Tenthredinidae,Nepticulidae,Gracilliaridae,Agromyzidae,Notodontidae,Tortricidae,Aphididae,Formicidae,Chrysomelidae,Pentatomidae,Membracidae,Harmandia,Phyllocolpa,PetioleGall,LeafEdgeMine,SerpMine,BlotchMine,LombardyMine,Gluphisia,GreenNematus,RustylinedLeaftier,ObliqueBandedLeafRoller,SmokeyAphids,GreenAphids,Lasius_neoniger,AvgBA2014,AvgSize2014,Growth2012_2014,Growth2014_2015,BAI2012_2014,BAI2014_2015,AvgEFN2014,SDEFN2014,TotEFN2014,SLA2014,LA2014,BB2014,BS2014,GS2014,CT2014,Salicortin2014,Tremulacin2014,PG2014,TotalDefChem2014,CN2014,N2014
1,A,1,273,1 A 1,6,15.500,0.000,0.167,1.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,15.333,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,15.333,0.000,0.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167,0.577,10.580,11.930,123.870,224.000,100.130,14.270,2.834,2.860,5.694,21.360
1,A,2,118,1 A 2,12,1.667,0.667,0.000,0.000,0.000,0.000,0.083,0.583,0.000,0.167,0.000,1.500,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.083,0.000,0.500,0.000,0.167,0.000,0.000,0.000,1.250,0.250,0.000,11.750,6283.270,NA,NA,NA,NA,3.490,7.700,23.640,0.500,0.905,12.960,11.500,123.870,224.000,100.130,7.530,3.551,3.420,6.971,16.250
1,A,3,254,1 A 3,6,25.000,0.667,0.000,0.833,0.000,0.000,0.667,0.000,0.000,0.000,0.000,25.000,0.833,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,1.050,138.360,2.022,NA,1.428,NA,0.610,NA,3.560,0.833,1.030,10.370,10.730,125.040,227.000,101.960,14.790,3.933,4.320,8.253,24.980
1,A,12,357,1 A 12,6,0.167,0.667,0.000,0.000,0.000,0.167,0.000,0.167,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.167,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.710,1159.730,2.618,3.053,1.199,1.066,1.810,3.590,12.430,1.000,1.128,11.140,9.170,123.490,NA,NA,10.640,4.375,3.580,7.955,20.750
1,A,13,29,1 A 13,12,2.917,0.250,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,2.917,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.917,0.000,0.000,13.130,5555.480,3.270,3.803,1.531,1.301,4.950,10.830,34.620,0.250,0.622,8.900,9.200,122.680,224.000,101.320,12.030,3.464,2.760,6.224,19.960
1,A,14,147,1 A 14,12,7.333,0.750,0.000,0.000,0.000,0.083,0.667,0.000,0.000,0.000,0.000,7.333,0.000,0.000,0.000,0.000,0.000,0.083,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.500,0.833,0.000,8.530,2979.170,3.031,3.528,1.773,1.282,3.350,7.570,24.240,1.250,0.965,12.760,13.020,123.080,230.000,106.920,15.110,1.642,1.220,2.862,18.780
1,A,15,245,1 A 15,6,0.000,0.500,0.000,0.000,0.000,0.333,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.810,3666.040,3.218,3.455,1.336,0.820,4.420,4.960,17.610,1.333,0.985,12.730,15.920,122.040,NA,NA,6.000,3.330,3.460,6.790,14.430
1,A,16,215,1 A 16,12,0.000,0.667,0.000,0.000,0.000,0.500,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.160,3720.510,3.086,3.638,1.548,1.335,4.360,10.060,31.260,0.167,0.389,11.410,10.700,123.220,213.000,89.780,13.880,3.162,2.620,5.782,21.220
1,A,18,218,1 A 18,12,0.000,1.833,0.000,0.000,0.000,0.500,1.250,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,1.250,0.000,0.000,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.060,5243.160,3.187,3.814,1.489,1.453,4.930,11.670,33.280,0.333,0.778,12.210,11.950,121.860,217.000,95.140,14.590,3.243,2.110,5.353,21.540
1,A,19,335,1 A 19,6,0.000,0.833,0.000,0.167,0.000,0.500,0.167,0.000,0.000,0.000,0.167,0.000,0.167,0.000,0.000,0.000,0.000,0.500,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.000,0.000,0.167,5.310,1272.160,2.679,3.123,1.536,1.156,2.170,4.150,13.890,0.750,0.965,8.340,9.210,123.330,213.000,89.670,9.990,2.928,1.820,4.748,16.180
1,A,20,277,1 A 20,12,2.667,0.583,0.000,0.000,0.000,0.417,0.000,0.083,0.000,0.167,0.083,2.583,0.000,0.000,0.000,0.000,0.000,0.417,0.000,0.000,0.000,0.083,0.000,0.167,0.000,0.000,0.083,0.667,1.917,0.000,9.380,2918.240,2.950,3.542,1.418,1.376,3.330,8.680,25.030,0.167,0.577,9.850,10.290,119.460,230.000,110.540,9.230,4.208,4.560,8.768,20.070
1,A,21,10,1 A 21,12,3.583,0.833,0.000,0.000,0.167,0.167,0.083,0.167,0.250,0.083,0.000,3.500,0.000,0.000,0.000,0.000,0.167,0.167,0.083,0.167,0.000,0.000,0.250,0.083,0.000,0.000,0.000,3.500,0.000,0.000,13.290,4932.520,3.045,3.828,1.229,1.666,4.350,12.870,29.220,0.583,0.900,10.510,12.250,122.120,248.000,125.880,12.890,2.961,2.110,5.071,19.420
1,A,24,327,1 A 24,12,0.917,0.417,0.000,0.250,0.000,0.167,0.083,0.083,0.083,0.083,0.000,0.833,0.250,0.000,0.000,0.000,0.000,0.167,0.083,0.083,0.000,0.000,0.083,0.083,0.000,0.000,0.000,0.000,0.833,0.250,10.260,3812.870,3.128,3.639,1.714,1.297,4.250,8.980,28.890,0.583,0.900,12.860,10.650,121.860,227.000,105.140,8.310,2.727,2.250,4.977,14.630
