BLK,ROW,POS,GENO,ID,Total.time,FreeFeeder,LeafModifier,WoodModifier,Ant,Cecidomyiidae,Tenthredinidae,Nepticulidae,Graciliaridae,Lyonetiidae,Agromyzidae,Megalopodidae,Notodontidae,Noctuidae,Tortricidae,Aphididae,Formicidae,Chrysomelidae,Delphacidae,Pentatomidae,Harmandia,Phyllocolpa,PetioleGall,LeafEdgeMine,SerpMine,CottonwoodMine,BlotchMine,LombardyMine,BlackMine,LeafCurlMidge,CottonwoodDagger,RustylinedLeaftier,ObliqueBandedLeafRoller,GreenAphids,SmokeyAphids,Formica_glacialis,Lasius_neoniger,Lasius_alienus,AvgBA2015,AvgSize2015,Growth2014_2015,Growth2012_2015,BAI2014_2015,BAI2012_2015,SLA2015,LA2015,BB2015,BS2015,GS2015,CT2015,Salicortin2015,Tremulacin2015,PG2015,TotalDefChem2015,CN2015,N2015
1,A,1,273,1 A 1,4.5,45.556,7.111,0.000,2.667,0.222,0.444,5.778,0.667,0.000,0.000,0.000,0.000,0.000,0.000,45.556,2.667,0.000,0.000,0.000,0.000,0.444,5.778,0.222,0.444,0.000,0.000,0.000,0.000,0.222,0.000,0.000,0.000,0.000,45.556,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,2.000,122.250,134.510,132.000,228.000,96.000,17.720,3.893,4.530,8.423,28.060,27.180
1,A,2,118,1 A 2,6,171.667,2.333,0.000,2.833,0.000,0.833,0.000,0.667,0.000,0.833,0.000,0.000,0.000,0.000,171.500,2.833,0.000,0.000,0.000,0.000,0.833,0.000,0.167,0.500,0.000,0.000,0.833,0.000,0.000,0.000,0.000,0.000,0.000,171.500,0.000,0.000,0.000,21.820,10049.240,NA,4.104,NA,2.522,6.000,122.750,130.680,135.190,224.000,88.810,12.470,3.973,5.150,9.123,23.550,25.610
1,A,3,254,1 A 3,1.5,297.333,2.000,0.000,11.333,0.000,1.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,297.333,11.333,0.000,0.000,0.000,0.000,1.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,297.333,0.000,0.000,0.000,4.000,862.040,NA,2.918,NA,3.257,10.000,104.190,113.380,133.970,198.000,64.030,17.190,4.161,6.060,10.221,29.460,26.970
1,A,4,156,1 A 4,3,15.667,3.333,0.000,1.000,1.000,1.000,0.000,1.000,0.000,0.333,0.000,0.000,0.000,0.000,15.667,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.667,0.333,0.000,0.000,0.333,0.000,1.000,0.000,0.000,0.000,2.333,13.333,0.000,0.000,0.000,6.890,3062.700,NA,3.442,NA,2.337,5.000,116.010,123.650,128.780,240.000,111.220,21.770,2.553,2.530,5.083,28.110,26.820
1,A,11,161,1 A 11,3,0.333,5.333,0.000,0.000,0.333,1.333,3.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.333,3.667,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,NA,NA,NA,NA,NA,NA,6.000,109.700,125.300,127.430,198.000,70.570,25.490,2.975,3.190,6.165,33.120,31.110
1,A,12,357,1 A 12,4.5,0.000,1.778,0.000,0.000,0.000,0.000,0.000,1.111,0.000,0.444,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.222,0.222,0.000,0.667,0.444,0.000,0.000,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.000,10.020,3166.330,3.053,3.646,1.066,3.247,10.000,117.590,133.500,133.080,198.000,64.920,14.240,5.126,5.790,10.916,27.680,27.950
1,A,13,29,1 A 13,6,5.500,2.500,0.000,0.667,0.833,0.000,0.000,1.000,0.000,0.667,0.000,0.000,0.000,0.000,5.333,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.167,0.333,0.000,0.500,0.667,0.000,0.833,0.000,0.000,0.000,5.333,0.000,0.000,0.667,0.000,27.970,16388.930,3.803,4.372,1.301,3.845,3.000,119.300,148.390,129.370,228.000,98.630,16.090,3.142,3.560,6.702,24.340,24.790
1,A,14,147,1 A 14,6,1.333,12.167,0.000,0.167,0.667,0.333,10.000,0.500,0.000,0.500,0.000,0.000,0.000,0.167,1.333,0.167,0.000,0.000,0.000,0.000,0.333,10.000,0.000,0.500,0.000,0.000,0.500,0.000,0.667,0.000,0.000,0.167,1.333,0.000,0.000,0.167,0.000,18.980,4663.790,3.528,NA,1.282,NA,13.000,103.200,149.080,130.370,232.000,101.630,21.880,1.608,1.900,3.508,26.180,24.000
1,A,15,245,1 A 15,4.5,0.000,2.667,0.000,0.000,0.444,0.000,1.333,0.222,0.000,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.333,0.000,0.222,0.000,0.000,0.667,0.000,0.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,16.400,7516.260,3.455,3.971,0.820,2.826,14.000,119.400,139.180,128.610,198.000,69.390,12.840,3.497,4.800,8.297,22.860,26.970
1,A,16,215,1 A 16,6,9.167,2.000,0.000,0.500,0.000,0.667,0.000,0.333,0.000,0.833,0.000,0.000,0.000,0.167,9.167,0.500,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0.167,0.000,0.167,0.833,0.000,0.000,0.000,0.000,0.167,9.167,0.000,0.000,0.500,0.000,24.610,11722.210,3.638,4.236,1.335,3.975,2.000,120.790,152.860,130.850,198.000,67.150,19.820,3.142,3.330,6.472,27.840,25.660
